"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"GRIA4","GLUR4; GLURD; GluA4; GLUR4C","glutamate ionotropic receptor AMPA type subunit 4","Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. These receptors are heteromeric protein complexes composed of multiple subunits, arranged to form ligand-gated ion channels. The classification of glutamate receptors is based on their activation by different pharmacologic agonists. The subunit encoded by this gene belongs to a family of AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate)-sensitive glutamate receptors, and is subject to RNA editing (AGA->GGA; R->G). Alternative splicing of this gene results in transcript variants encoding different isoforms, which may vary in their signal transduction properties. Some haplotypes of this gene show a positive association with schizophrenia. [provided by RefSeq, Jul 2008]","11q22.3","138246","ENSG00000152578","GRIA4_HUMAN","2893","503743"
"GRIN2B","MRD6; NR2B; hNR3; EIEE27; GluN2B; NMDAR2B","glutamate ionotropic receptor NMDA type subunit 2B","N-methyl-D-aspartate (NMDA) receptors are a class of ionotropic glutamate receptors. NMDA receptor channel has been shown to be involved in long-term potentiation, an activity-dependent increase in the efficiency of synaptic transmission thought to underlie certain kinds of memory and learning. NMDA receptor channels are heteromers composed of three different subunits: NR1 (GRIN1), NR2 (GRIN2A, GRIN2B, GRIN2C, or GRIN2D) and NR3 (GRIN3A or GRIN3B). The NR2 subunit acts as the agonist binding site for glutamate. This receptor is the predominant excitatory neurotransmitter receptor in the mammalian brain. [provided by RefSeq, Jul 2008]","12p13.1","138252","ENSG00000273079","NMDE2_HUMAN","2904","504844"
"GRIP1","GRIP","glutamate receptor interacting protein 1","This gene encodes a member of the glutamate receptor interacting protein family. The encoded scaffold protein binds to and mediates the trafficking and membrane organization of a number of transmembrane proteins. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, May 2010]","12q14.3","604597","ENSG00000155974","GRIP1_HUMAN","23426","505946"
"GRM7","GLUR7; MGLU7; GPRC1G; MGLUR7; PPP1R87","glutamate metabotropic receptor 7","L-glutamate is the major excitatory neurotransmitter in the central nervous system, and it activates both ionotropic and metabotropic glutamate receptors. Glutamatergic neurotransmission is involved in most aspects of normal brain function and can be perturbed in many neuropathologic conditions. The metabotropic glutamate receptors are a family of G protein-coupled receptors that have been divided into three groups on the basis of sequence homology, putative signal transduction mechanisms, and pharmacologic properties. Group I includes GRM1 and GRM5, and these receptors have been shown to activate phospholipase C. Group II includes GRM2 and GRM3, while Group III includes GRM4, GRM6, GRM7 and GRM8. Group II and III receptors are linked to the inhibition of the cyclic AMP cascade but differ in their agonist selectivities. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2009]","3p26.1","604101","ENSG00000196277","B2R693_HUMAN","2917","606393"
"GRWD1","CDW4; GRWD; RRB1; WDR28","glutamate rich WD repeat containing 1","This gene encodes a glutamate-rich protein that contains five WD-repeat motifs. The encoded protein may play a critical role in ribosome biogenesis and may also play a role in histone methylation through interactions with CUL4-DDB1 ubiquitin E3 ligase. [provided by RefSeq, Feb 2012]","19q13.33","610597","ENSG00000105447","GRWD1_HUMAN","83743","400625"
"GSG1L","PRO19651","GSG1 like","","16p12.1","617161","ENSG00000169181","B3KY67_HUMAN","146395","91910"
"GSR","HEL-75; HEL-S-122m","glutathione-disulfide reductase","This gene encodes a member of the class-I pyridine nucleotide-disulfide oxidoreductase family. This enzyme is a homodimeric flavoprotein. It is a central enzyme of cellular antioxidant defense, and reduces oxidized glutathione disulfide (GSSG) to the sulfhydryl form GSH, which is an important cellular antioxidant. Rare mutations in this gene result in hereditary glutathione reductase deficiency. Multiple alternatively spliced transcript variants encoding different isoforms have been found. [provided by RefSeq, Aug 2010]","8p12","138300","ENSG00000104687","GSHR_HUMAN","2936","271510"
"GSS","GSHS; HEL-S-64p; HEL-S-88n","glutathione synthetase","Glutathione is important for a variety of biological functions, including protection of cells from oxidative damage by free radicals, detoxification of xenobiotics, and membrane transport. The protein encoded by this gene functions as a homodimer to catalyze the second step of glutathione biosynthesis, which is the ATP-dependent conversion of gamma-L-glutamyl-L-cysteine to glutathione. Defects in this gene are a cause of glutathione synthetase deficiency. [provided by RefSeq, Jul 2008]","20q11.22","601002","ENSG00000100983","GSHB_HUMAN","2937","82327"
"GSTA3","GTA3; GSTA3-3","glutathione S-transferase alpha 3","Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. These enzymes are involved in cellular defense against toxic, carcinogenic, and pharmacologically active electrophilic compounds. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-tranferase belonging to the alpha class genes that are located in a cluster mapped to chromosome 6. Genes of the alpha class are highly related and encode enzymes with glutathione peroxidase activity. However, during evolution, this alpha class gene diverged accumulating mutations in the active site that resulted in differences in substrate specificity and catalytic activity. The enzyme encoded by this gene catalyzes the double bond isomerization of precursors for progesterone and testosterone during the biosynthesis of steroid hormones. An additional transcript variant has been identified, but its full length sequence has not been determined. [provided by RefSeq, Jul 2008]","6p12.2","605449","ENSG00000174156","GSTA3_HUMAN","2940","102484"
"GSTA4","GTA4; GSTA4-4","glutathione S-transferase alpha 4","Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. These enzymes are involved in cellular defense against toxic, carcinogenic, and pharmacologically active electrophilic compounds. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-tranferase belonging to the alpha class. The alpha class genes, which are located in a cluster on chromosome 6, are highly related and encode enzymes with glutathione peroxidase activity that function in the detoxification of lipid peroxidation products. Reactive electrophiles produced by oxidative metabolism have been linked to a number of degenerative diseases including Parkinson's disease, Alzheimer's disease, cataract formation, and atherosclerosis. [provided by RefSeq, Jul 2008]","6p12.2","605450","ENSG00000170899","A0A024RD58_HUMAN","2941","485557"
"GSTM1","MU; H-B; GST1; GTH4; GTM1; MU-1; GSTM1-1; GSTM1a-1a; GSTM1b-1b","glutathione S-transferase mu 1","Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-transferase that belongs to the mu class. The mu class of enzymes functions in the detoxification of electrophilic compounds, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress, by conjugation with glutathione. The genes encoding the mu class of enzymes are organized in a gene cluster on chromosome 1p13.3 and are known to be highly polymorphic. These genetic variations can change an individual's susceptibility to carcinogens and toxins as well as affect the toxicity and efficacy of certain drugs. Null mutations of this class mu gene have been linked with an increase in a number of cancers, likely due to an increased susceptibility to environmental toxins and carcinogens. Multiple protein isoforms are encoded by transcript variants of this gene. [provided by RefSeq, Jul 2008]","1p13.3","138350","ENSG00000134184","GSTM1_HUMAN","2944","301961"
"GSTM3","GST5; GSTB; GTM3; GSTM3-3","glutathione S-transferase mu 3","Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-transferase that belongs to the mu class. The mu class of enzymes functions in the detoxification of electrophilic compounds, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress, by conjugation with glutathione. The genes encoding the mu class of enzymes are organized in a gene cluster on chromosome 1p13.3 and are known to be highly polymorphic. These genetic variations can change an individual's susceptibility to carcinogens and toxins as well as affect the toxicity and efficacy of certain drugs. Mutations of this class mu gene have been linked with a slight increase in a number of cancers, likely due to exposure with environmental toxins. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2008]","1p13.3","138390","ENSG00000134202","GSTM3_HUMAN","2947","2006"
